id;﻿syn size;win size;ttl;os;major version;minor version;flows;percent in group;million flows
1;46;5840;64;Ubuntu;N/A;N/A;748;100.0;1.4591148375811678
2;48;8192;64;Windows;6;1;220400;93.51385524021265;429.93169813220504
2;48;8192;64;Windows;10;0;6640;2.8172958203040475;12.952570215961169
3;48;8192;128;Windows;10;0;1522149;40.9460186853741;2969.2382231408246
3;48;8192;128;Windows;6;1;1462640;39.34521835245799;2853.154713956844
3;48;8192;128;Windows;5;1;274718;7.389952206524199;535.889184425967
3;48;8192;128;Windows;6;0;159507;4.290760367380569;311.1484363610419
3;48;8192;128;Windows;6;2;134360;3.614302588358212;262.09447804466004
4;48;16384;128;Windows;5;1;81062;99.13779397556472;158.1266938021452
5;48;17520;128;Windows;10;0;8410;97.07953364885144;16.405288481360458
6;48;64240;64;Windows;10;0;960;97.3630831643002;1.8726607541148677
7;48;64240;128;Windows;N/A;N/A;355640;59.761083375482905;693.742781868137
7;48;64240;128;Windows;10;0;198385;33.33624599439089;386.9872955261229
7;48;64240;128;Windows;5;1;39084;6.567602583082256;76.24070095190154
8;48;64380;128;Windows;5;1;650;95.58823529411765;1.2679473855986083
9;48;64512;128;Windows;5;2;60608;99.99340064673662;118.22731560978531
10;48;65518;128;Windows;10;0;588;98.65771812080537;1.1470047118953564
11;48;65535;64;Windows;6;1;1397;29.566137566137566;2.72511153489424
11;48;65535;64;Windows;10;0;1307;27.661375661375658;2.549549589195971
11;48;65535;64;Mac OS X;10;12;458;9.693121693121693;0.8934152347756348
11;48;65535;64;Mac OS X;10;11;240;5.079365079365079;0.4681651885287169
11;48;65535;64;Mac OS X;10;10;229;4.8465608465608465;0.4467076173878174
11;48;65535;64;iOS;10;3;207;4.380952380952381;0.40379247510601834
11;48;65535;64;iOS;10;2;167;3.5343915343915344;0.32576494368456554
11;48;65535;64;Mac OS X;10;9;158;3.343915343915344;0.30820874911473867
11;48;65535;64;Windows;6;2;126;2.666666666666667;0.2457867239775764
