id;﻿syn size;win size;ttl;os;major version;minor version;confidence
1;3;29200;64;Linux;N/A;N/A;100.0
2;6;29200;64;Linux;N/A;N/A;100.0
3;8;29200;64;Ubuntu;N/A;N/A;100.0
4;9;29200;64;Linux;N/A;N/A;100.0
5;12;29200;64;Linux;N/A;N/A;100.0
6;13;65535;64;Android;7;0;100.0
7;17;29200;64;Ubuntu;N/A;N/A;100.0
8;19;29200;64;Ubuntu;N/A;N/A;100.0
9;24;29200;64;Linux;N/A;N/A;100.0
10;26;29200;64;Ubuntu;N/A;N/A;100.0
11;28;29200;64;Linux;N/A;N/A;100.0
12;30;29200;64;Ubuntu;N/A;N/A;100.0
13;36;29200;64;Linux;N/A;N/A;100.0
14;36;65535;64;Android;7;0;100.0
15;37;65535;64;Android;7;0;100.0
16;41;29200;64;Linux;N/A;N/A;100.0
17;42;29200;64;Linux;N/A;N/A;100.0
18;43;29200;64;Ubuntu;N/A;N/A;100.0
19;43;65535;64;Android;7;0;100.0
20;44;29200;64;Linux;N/A;N/A;100.0
21;45;29200;64;Linux;N/A;N/A;100.0
22;46;5840;64;Ubuntu;N/A;N/A;100.0
23;48;8192;64;Windows;6;1;93.51385524021265
23;48;8192;64;Windows;10;0;2.8172958203040475
23;48;8192;64;Windows;6;3;2.463012385070029
23;48;8192;64;Windows;6;0;0.9287741793140902
23;48;8192;64;Windows;N/A;N/A;0.17353523953378844
23;48;8192;64;Windows;5;1;0.062370856262755264
23;48;8192;64;Windows;6;2;0.01569878695048942
23;48;8192;64;Windows;98;N/A;0.013577329254477338
23;48;8192;64;Windows;6;N/A;0.0038186238528217504
23;48;8192;64;Windows;5;2;0.0038186238528217504
23;48;8192;64;Windows;5;0;0.0025457492352145006
23;48;8192;64;Windows;10;N/A;0.0016971661568096672
24;48;8192;128;Windows;10;0;40.9460186853741
24;48;8192;128;Windows;6;1;39.34521835245799
24;48;8192;128;Windows;5;1;7.389952206524199
24;48;8192;128;Windows;6;0;4.290760367380569
24;48;8192;128;Windows;6;2;3.614302588358212
24;48;8192;128;Windows;6;3;2.7901630498085654
24;48;8192;128;Windows;N/A;N/A;1.4301458552401334
24;48;8192;128;Windows Phone;7;5;0.03817129631497695
24;48;8192;128;Windows;5;0;0.035400582065193566
24;48;8192;128;Windows;10;N/A;0.0245060260344919
24;48;8192;128;Android;N/A;N/A;0.016651185637047733
24;48;8192;128;Windows;6;23714;0.015279278581329745
24;48;8192;128;Windows CE;N/A;N/A;0.01100215658409131
24;48;8192;128;Windows;98;N/A;0.009791650358457794
24;48;8192;128;Linux;N/A;N/A;0.006482933341726177
24;48;8192;128;Ubuntu;N/A;N/A;0.004734424349144428
24;48;8192;128;Mac OS X;10;11;0.004734424349144428
24;48;8192;128;Windows;6;23677;0.004519223242365135
24;48;8192;128;Windows;6;23796;0.004357822412280667
24;48;8192;128;Windows Phone;7;0;0.003954320337069494
24;48;8192;128;Android;4;4;0.002286511759529979
24;48;8192;128;Debian;N/A;N/A;0.0017485089925817487
24;48;8192;128;Windows;6;N/A;0.0016140083008446913
24;48;8192;128;Windows Phone;N/A;N/A;0.0014526074707602221
24;48;8192;128;Windows Phone;7;10;0.0013719070557179876
24;48;8192;128;Windows;7;N/A;0.0009953051188542263
24;48;8192;128;Windows;7;0;0.0008877045654645801
24;48;8192;128;Mac OS X;10;9;0.0006456033203378765
24;48;8192;128;Android;4;1;0.0005111026286008189
24;48;8192;128;Mac OS X;10;8;0.00043040221355858437
24;48;8192;128;Windows Phone;8;1;0.0004035020752111728
24;48;8192;128;Windows;1;N/A;0.0002690013834741152
24;48;8192;128;Fedora;N/A;N/A;0.0002690013834741152
24;48;8192;128;iOS;N/A;N/A;0.0002690013834741152
24;48;8192;128;Windows;10;1198;0.00021520110677929218
24;48;8192;128;Android;5;0;0.00010760055338964609
24;48;8192;128;Android;7;0;0.00010760055338964609
24;48;8192;128;Mac OS X;10;12;8.070041504223456e-05
24;48;8192;128;iOS;9;1;5.3800276694823046e-05
24;48;8192;128;QNX;N/A;N/A;2.6900138347411523e-05
24;48;8192;128;Ubuntu;10;4;2.6900138347411523e-05
24;48;8192;128;Android;6;0;2.6900138347411523e-05
24;48;8192;128;Mac OS X;10;10;2.6900138347411523e-05
24;48;8192;128;GNU OS;N/A;N/A;2.6900138347411523e-05
25;48;16384;64;Windows;N/A;N/A;100.0
26;48;16384;128;Windows;5;1;99.13779397556472
26;48;16384;128;Windows;5;0;0.84019225359864
26;48;16384;128;Windows;5;N/A;0.01345285995572786
26;48;16384;128;Windows;N/A;N/A;0.008560910880917729
